xgb,catboost,lgbm
33935536128,31399417973,21630866330
43245260800,46951091040,26828005281
56630083584,39932276749,40073639167
99671736320,52476087207,50066876191
37134848000,33688775428,22758800066
35530989568,30534459216,22071457909
34905403392,29525702493,21656371751
45000511488,40378495493,28160154293
34760114176,29203467181,21828842043
38078009344,18270435249,23717865247
41820008448,34647762424,25593699032
36405379072,32525232567,22869892927
48357449728,1.17637E+11,32793461407
35822469120,34205443550,22507559794
34184251392,29465799284,21630866330
83587276800,1.34788E+11,50521769587
35588370432,43181636520,22507559794
40713793536,33272658505,22163193216
50241576960,1.02956E+11,31979641289
56826994688,43583419755,33469775409
34866790400,30905664588,21934736105
86167011328,54834182106,54097259379
46558756864,34872519544,29096103526
57162715136,49549881708,35504500920
37737922560,35057325731,24005939048
36349210624,31326137440,22101644852
44175867904,39772578061,31080215823
35364556800,35844164784,21816240888
35819679744,42486738914,22512334729
55134244864,49168773188,34772395313
34368212992,30049112459,21656371751
41752616960,38352566472,27930351267
35806015488,93168777463,23132990776
39767257088,35502019428,24608159696
1.23744E+11,95907389520,92015140382
2.36674E+11,1.0383E+11,1.62635E+11
62485532672,44251756432,57169568253
54736818176,85696616853,33918531070
34531438592,30384936205,21687987621
37586903040,37154776890,22919908894
44582346752,11216382196,26400280450
35171627008,29881421587,21700060750
35809681408,33871983580,21910723637
34554634240,29642240305,21816240888
91128135680,2.1423E+11,71742361125
35079172096,30681476081,21700060750
34392141824,30474035649,21695243142
37312200704,30457071662,23477357914
35129147392,29842304297,22263641529
44300406784,39170890208,29135862750
38138327040,39332246632,23597857232
34203860992,29675161351,21652902740
46072078336,50000207476,28932670422
55928852480,44336470032,37803852148
33955514368,30297724282,21630866330
35962806272,32649171634,22043216454
45417324544,36955052638,23025443354
34620723200,30265893566,21656371751
53709164544,55619542689,34050701024
33974644736,29406374352,21630866330
1.15502E+11,1.16923E+11,74168872262
38616002560,32358382532,24584405486
34575417344,30962199561,21630866330
45202235392,33784283086,28144397724
38770790400,30583986394,23662366336
44099883008,31097096881,27690467180
37427343360,43445154223,23132990776
35829927936,31204622144,22250178504
35741462528,30116237718,22726265852
36564717568,32003306061,22869892927
38331510784,35720623014,23728791965
57033957376,38119519970,32388235926
37176705024,28520467009,22221722862
35724324864,30981495091,22035236334
1.10903E+11,87298411046,77659295625
40306835456,32207845596,25194403910
54628651008,32991241191,23097680164
42633433088,47800073816,27567259175
34531840000,30085080899,21652902740
53902712832,59571199589,36265610143
34999058432,29777703694,22250178504
37765283840,42556389878,23739662652
45483499520,41405607825,29472512327
65486712832,80204807151,44427592889
34882592768,31332095142,21656371751
52926189568,83103342594,36138887124
35585323008,29270091776,22507559794
55682383872,47748077417,38186863724
1.1264E+11,5.18951E+11,90273935596
34816487424,30214695350,22101644852
1.45773E+11,1.62236E+11,1.07604E+11
51195158528,45725181193,33780919716
35997679616,33568049132,22043216454
33918316544,29649787345,21630866330
36410290176,37466900520,23116787296
66609774592,93836568951,41296438702
47911538688,63308499474,29683858276
58400382976,1.3521E+11,35392921505
35326382080,32411915307,21939668740
47750668288,47939616066,31006141841
36993896448,39950105898,23325328324
34992558080,29064912122,22250178504
37312200704,37949615854,23477357914
45515288576,60920814086,27163742330
45344665600,38557565520,27641908205
35043786752,31559849912,21656371751
37084917760,30549371106,23477357914
34188785664,29283204551,21630866330
34876084224,30825357051,21656371751
46652104704,59695566186,26650823059
39965900800,38857388108,24291830878
37866557440,62405580681,23597857232
46371569664,44684980211,23245097820
34831818752,30733306886,21738481470
36421890048,32575030237,22880687241
36865261568,34704111836,23090308413
54187016192,80063794289,35315263341
1.1055E+11,67104913225,1.33783E+11
2.62892E+11,1.40074E+11,1.84438E+11
45735473152,42166162040,26882958378
40973459456,33498742055,23809126657
35338289152,31395371071,21727954162
34275067904,29713936665,21630866330
33735819264,29472916918,21630866330
33889423360,30588404046,21630866330
69019336704,32727775632,42372313983
34844688384,30175873059,21695243142
33928396800,29861333068,21630866330
35847626752,32317964229,22226497797
36362928128,31336585478,22880687241
51319201792,62411409817,33606454450
45670916096,1.03034E+11,27541735792
45771087872,19192705470,27541735792
40178429952,46658220427,24095146683
41918107648,37898399993,29042665782
37634256896,31350013414,24005939048
65291661312,53690276009,40003369250
39464349696,33474419864,23653827558
45226364928,38531392009,30010707738
34565898240,30268922244,21656371751
36886376448,38764779737,23232953557
33592999936,29557888349,21630866330
36112855040,32547055071,22716016929
59375730688,76111393518,67916183486
40071737344,32328804145,23653827558
33854228480,29906484167,21630866330
39383547904,32292643227,24404010322
37597163520,32739632333,24012008462
48985849856,34291869236,28858716048
55705358336,51145755601,34167194643
33688436736,29482575711,21630866330
35595153408,35327807575,22456397952
35622297600,31480952697,21860879644
1.17803E+11,65968184697,82512121681
38308106240,28522005146,22880687241
34485534720,29758547501,21652902740
38925254656,33234637072,24634455366
36070281216,28811812509,23232953557
35747614720,31021740056,22004795734
34292367360,29625593795,21630866330
1.86652E+12,2.23285E+12,1.32116E+12
62599688192,29260484912,36916653240
45676986368,35846626150,33240404191
35370754048,33457345134,22221722862
35596136448,31121249560,22101644852
59099082752,51172128072,39821653660
37093892096,31631177668,23361871262
37394767872,31867074123,23715641724
50716307456,77974480706,31757661461
50253246464,1.01343E+11,30514635208
49446580224,43531385637,30396496825
35783258112,29702772811,22949437077
33769613312,29810899603,21630866330
34761342976,30359837372,21656371751
40072343552,36392678685,24392996160
35771088896,33200723931,22120716041
35564806144,30322787314,22263641529
35212029952,31562197126,21816240888
49196232704,37402558304,30785180547
35339001856,29965200142,21911588772
34501828608,29744925560,21726408340
37660065792,35688006683,23728791965
36936081408,30412912822,22949437077
71237279744,75821389779,55967032132
48499077120,35871469062,31383496805
61370904576,62702836278,41335084031
34777624576,30749427543,21727954162
33752311808,29812243776,21630866330
55012323328,42775787614,33303130330
34339895296,30319317940,21695243142
39720464384,31415129953,25140037530
44222525440,22846904679,27343506477
35575611392,31889249083,22101644852
42471170048,39125243698,24426624330
45344665600,61912041149,27790955635
35249541120,30289052013,21656371751
35777347584,32430144727,22004795734
44857180160,37019632543,27929331772
56897568768,56469594801,37124046843
45027807232,70946180915,28712354839
37396508672,46210475952,23132990776
64856150016,4.46228E+11,38627275280
35119697920,33178079795,22428717643
34954067968,35890664917,21726408340
35025907712,31061301777,22135554013
36908568576,45357375203,23132990776
36204417024,29380026357,22984175786
1.06769E+11,77303066840,77490699022
35484471296,32602176001,22128978033
34965901312,30745808109,21656371751
35523923968,31222421398,22101644852
34995793920,30262670301,21656371751
35390025728,36748232411,22225089493
43348127744,49634397330,28068697132
34828709888,30223498295,22101644852
34844688384,30549109497,21695243142
44099883008,31615504259,27690467180
41355546624,45153814477,24757597410
47009656832,41535060821,30450550881
35727093760,31324149724,22072185636
34120648704,29814405821,21652902740
63806349312,32984517564,44165305289
34084562944,30140890724,21630866330
51613908992,67372978155,39123622210
34543046656,32766947124,21816240888
42468802560,52753068933,27938890045
38147702784,33402968838,23959363703
36587892736,42673651722,23132990776
47889489920,44025090555,29678372752
58629029888,41149505918,40053464540
35779112960,29417051410,22035236334
34696773632,30541436997,21656371751
36506324992,35570024244,22855553987
35715399680,30547934624,21978443938
34789011456,30585094145,21656371751
35624366080,32036686819,22263641529
97164066816,66004185630,62437242576
35766513664,30203536535,22250178504
35878756352,34691434154,22143316972
49934831616,47091721488,35104593758
36494528512,38963951355,23116787296
38558216192,61271918067,23826104614
35490082816,28813262707,22101644852
66726051840,1.31609E+11,39596347251
52410101760,50184016110,34742552102
34790187008,30241583881,21816240888
57873326080,80396780812,37937289982
34855604224,30440607171,21934736105
36674027520,26378881968,23524443795
34820022272,30500637688,21656371751
47649673216,64531976779,29872828119
39203590144,45053664968,24746009038
35444158464,31483985665,22004795734
33671135232,29568976378,21630866330
